model,accuracy,genderStatus,genderIdentity
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,0,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Woman
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
FF,1,TRANS,Man
FF,0,TRANS,Man
FF,0,TRANS,Man
